House_Type,Area_sqft,Bedrooms,Bathrooms,Floors,Age,Parking,Location_Score,Price
Villa,2422,5,5,2,9,1,9,19030532
Mansion,8904,5,6,4,13,2,10,51189802
Mansion,9501,7,8,4,12,3,5,76671973
2BHK,1212,2,2,1,15,1,5,5073524
1BHK,774,1,1,1,13,4,10,3421595
Apartment,550,1,1,1,13,2,10,3707482
2BHK,1174,2,2,1,10,3,9,6941166
2BHK,1049,2,2,1,3,1,2,6537420
1BHK,612,1,1,1,3,4,6,3329539
1BHK,719,1,2,1,11,1,2,4671761
Apartment,528,1,1,1,19,4,8,3090176
Villa,4940,4,5,2,2,1,4,30061924
1BHK,859,1,2,1,8,3,6,3525372
1BHK,609,1,2,1,20,3,6,4104268
Mansion,9739,8,5,4,3,4,4,83541326
1BHK,571,1,1,1,12,1,7,3709017
Villa,3370,5,3,3,4,4,9,27072580
2BHK,982,2,3,2,7,4,1,7198339
1BHK,680,1,2,1,14,4,1,4049245
Mansion,5786,5,7,3,13,2,5,59115780
3BHK,1442,3,2,1,5,3,4,8285785
Villa,2976,5,4,1,2,2,3,33499921
3BHK,2309,3,2,2,18,1,1,9583895
Mansion,5526,6,5,2,19,1,1,79238032
2BHK,1141,2,3,2,6,3,10,7951781
Villa,4378,4,5,3,2,1,1,21324075
Villa,4373,4,5,3,16,1,3,20518199
Villa,2156,4,5,1,2,4,9,39751540
1BHK,857,1,1,1,20,1,10,4240022
3BHK,1693,3,2,1,2,4,2,10446218
2BHK,1490,2,2,1,18,2,8,7849413
Mansion,5907,7,7,4,12,1,8,66333053
Villa,4070,5,5,2,10,1,1,15314993
3BHK,2084,3,2,1,16,4,5,10572077
2BHK,1185,2,2,2,12,3,8,6647674
Villa,4841,5,3,3,20,4,1,23999836
Mansion,9705,5,5,2,2,3,8,51314542
1BHK,573,1,2,1,16,3,3,4709344
Villa,4264,4,4,1,20,3,6,33359112
Villa,3873,4,5,3,15,3,10,29358915
Villa,4289,4,3,2,18,2,1,33706970
Apartment,735,1,1,1,9,1,6,3596153
2BHK,1016,2,3,1,3,3,1,5805529
Mansion,9481,5,8,3,11,4,2,83479260
2BHK,1493,2,3,2,6,1,2,7453476
1BHK,674,1,2,1,13,2,3,4888796
Apartment,401,1,2,1,5,1,6,2100753
Apartment,756,1,2,1,10,2,6,2707524
Mansion,8803,5,7,4,0,2,4,59520043
Mansion,8818,8,5,4,6,3,1,87990490
1BHK,542,1,2,1,13,1,5,3361040
3BHK,2132,3,2,2,20,2,6,10283230
Villa,2361,5,4,3,3,4,10,23054661
2BHK,1322,2,2,1,18,4,6,7518897
3BHK,1377,3,4,2,6,3,8,10423254
2BHK,1067,2,3,2,17,2,9,6189062
1BHK,562,1,2,1,17,3,5,4444695
Villa,2080,4,3,1,5,4,2,20310335
Mansion,6927,8,6,4,13,3,6,81328703
1BHK,534,1,1,1,2,2,10,4961622
2BHK,1111,2,2,1,12,4,4,6655660
2BHK,1289,2,2,1,9,3,6,5982830
2BHK,990,2,3,1,13,2,3,7426346
2BHK,1133,2,3,1,19,2,4,5667018
1BHK,780,1,2,1,4,4,3,3624029
2BHK,863,2,2,1,8,2,10,7012375
Apartment,628,1,1,1,7,3,4,3053407
2BHK,1235,2,2,1,19,4,7,6609201
Villa,2230,4,3,2,18,4,10,37367087
Mansion,9744,8,5,4,14,1,4,61945726
2BHK,1363,2,3,2,16,3,5,6177226
2BHK,980,2,3,1,3,1,10,6393336
Villa,2199,4,5,3,12,1,7,18369667
Mansion,8574,6,8,2,18,2,3,94300032
Apartment,714,1,2,1,16,4,3,2905050
Villa,2773,5,3,2,9,1,2,18184123
2BHK,1266,2,3,1,10,4,2,6701213
3BHK,1434,3,2,2,2,3,7,8412008
3BHK,2402,3,4,1,16,1,10,7712215
Mansion,6045,7,5,3,8,4,9,59658735
Mansion,9280,8,8,2,9,2,3,70029447
1BHK,745,1,2,1,9,2,2,4694546
2BHK,1211,2,2,1,11,4,3,5551505
2BHK,1470,2,3,1,2,1,5,7225981
Apartment,554,1,2,1,7,4,6,3065514
Mansion,5209,6,5,4,16,1,7,52495415
1BHK,786,1,2,1,10,1,2,3989212
1BHK,667,1,2,1,0,2,3,4357057
Villa,2678,5,4,1,13,3,9,16970928
Mansion,6692,8,6,2,6,2,9,66021606
2BHK,990,2,3,1,19,3,1,5374871
Villa,2730,5,3,2,17,2,7,26942177
1BHK,699,1,1,1,17,4,4,4659004
Apartment,504,1,2,1,18,2,4,2244606
3BHK,2315,3,3,2,13,2,3,9711553
3BHK,2013,3,3,1,9,4,5,7829300
3BHK,1997,3,2,1,20,1,8,11997086
Mansion,8139,7,6,3,20,4,10,72481359
3BHK,1640,3,2,1,13,2,7,10687369
Villa,2265,4,3,2,12,4,2,32040837
